month,total_posts,topic,cluster_label,cluster_n,post_count,share_all_posts
2021-09-01,669,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,3,0.004484304932735426
2021-10-01,2962,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,9,0.003038487508440243
2021-11-01,5872,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,24,0.004087193460490463
2021-12-01,6998,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,26,0.003715347242069163
2022-01-01,6485,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,28,0.004317656129529684
2022-02-01,3253,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,12,0.0036889025514909315
2022-03-01,4033,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,24,0.005950905033473841
2022-04-01,3996,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,22,0.0055055055055055055
2022-05-01,2851,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,20,0.00701508242721852
2022-06-01,2821,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,20,0.007089684509039348
2022-07-01,3669,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,18,0.004905968928863451
2022-08-01,3667,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,23,0.006272157076629398
2022-09-01,2547,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,17,0.006674519042010208
2022-10-01,2289,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,17,0.007426823940585408
2022-11-01,2049,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,10,0.004880429477794046
2022-12-01,2276,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,16,0.007029876977152899
2023-01-01,2242,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,17,0.007582515611061552
2023-02-01,1970,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,19,0.009644670050761422
2023-03-01,2059,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,20,0.009713453132588635
2023-04-01,1626,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,16,0.00984009840098401
2023-05-01,1931,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,21,0.010875194199896427
2023-06-01,1311,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,14,0.010678871090770405
2023-07-01,2747,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,25,0.009100837277029487
2023-08-01,3114,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,42,0.01348747591522158
2023-09-01,2070,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,24,0.011594202898550725
2023-10-01,1746,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,21,0.012027491408934709
2023-11-01,1558,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,19,0.012195121951219513
2023-12-01,1548,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,21,0.013565891472868217
2024-01-01,1526,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,20,0.01310615989515072
2024-02-01,1372,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,19,0.013848396501457727
2024-03-01,1313,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,21,0.015993907083015995
2024-04-01,1174,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,20,0.017035775127768313
2024-05-01,1247,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,29,0.023255813953488372
2024-06-01,1192,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,13,0.010906040268456376
2024-07-01,1123,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,16,0.014247551202137132
2024-08-01,1059,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,10,0.009442870632672332
2024-09-01,909,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,18,0.019801980198019802
2024-10-01,936,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,5,0.005341880341880342
2024-11-01,841,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,14,0.016646848989298454
2024-12-01,722,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,13,0.018005540166204988
2025-01-01,807,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,8,0.009913258983890954
2025-02-01,637,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,10,0.015698587127158554
