month,candidate_theme,post_count,total_posts,mapped_posts,share_all_posts,share_mapped_posts,three_month_share_all_posts
2021-10-01,Service work and tips,28,2962,426,0.009453072248480757,0.06572769953051644,0.01068188677186216
2021-10-01,Work arrangements and control,24,2962,426,0.008102633355840648,0.056338028169014086,0.011461513245094571
2021-10-01,Workplace authority and interpersonal conflict,18,2962,426,0.006076975016880486,0.04225352112676056,0.009461825215383145
2021-11-01,Career precarity and exit,123,5872,940,0.020946866485013624,0.13085106382978723,0.023165202605123846
2021-11-01,Collective worker power and rights,50,5872,940,0.0085149863760218,0.05319148936170213,0.008722232343885404
2021-11-01,Compensation and pay rights,174,5872,940,0.02963215258855586,0.1851063829787234,0.03025197178453647
2021-11-01,Health safety and attendance,173,5872,940,0.029461852861035424,0.18404255319148935,0.03761226279442369
2021-11-01,Recruitment and labor market,140,5872,940,0.023841961852861037,0.14893617021276595,0.021354450155354577
2021-11-01,Scheduling hours and time off,99,5872,940,0.01685967302452316,0.10531914893617021,0.016963185323897016
2021-11-01,Service work and tips,80,5872,940,0.013623978201634877,0.0851063829787234,0.013217738356192684
2021-11-01,Work arrangements and control,49,5872,940,0.008344686648501362,0.052127659574468084,0.008864358644869267
2021-11-01,Workplace authority and interpersonal conflict,52,5872,940,0.008855585831062671,0.05531914893617021,0.007120989845379928
2021-12-01,Career precarity and exit,172,6998,1385,0.024578450985996,0.12418772563176896,0.023553414741685808
2021-12-01,Collective worker power and rights,81,6998,1385,0.01157473563875393,0.05848375451263538,0.009266607415359578
2021-12-01,Compensation and pay rights,260,6998,1385,0.03715347242069163,0.18772563176895307,0.03670546276972347
2021-12-01,Health safety and attendance,385,6998,1385,0.05501571877679337,0.2779783393501805,0.05658376006534668
2021-12-01,Recruitment and labor market,109,6998,1385,0.01557587882252072,0.07870036101083032,0.018896155064500163
2021-12-01,Scheduling hours and time off,146,6998,1385,0.020863103743926838,0.10541516245487365,0.017611524407267962
2021-12-01,Service work and tips,116,6998,1385,0.016576164618462418,0.08375451263537906,0.01453857240752151
2021-12-01,Work arrangements and control,71,6998,1385,0.01014575593026579,0.051263537906137184,0.009350322288527628
2021-12-01,Workplace authority and interpersonal conflict,45,6998,1385,0.006430408688196628,0.032490974729241874,0.007768166253271476
2022-01-01,Career precarity and exit,163,6485,1458,0.025134926754047802,0.11179698216735254,0.025383504230798493
2022-01-01,Collective worker power and rights,50,6485,1458,0.007710100231303007,0.03429355281207133,0.009399894567608896
2022-01-01,Compensation and pay rights,281,6485,1458,0.0433307632999229,0.19272976680384088,0.04260838393269382
2022-01-01,Health safety and attendance,553,6485,1458,0.08527370855821126,0.3792866941015089,0.06028911846713495
2022-01-01,Recruitment and labor market,112,6485,1458,0.017270624518118737,0.07681755829903979,0.019248865187734415
2022-01-01,Scheduling hours and time off,98,6485,1458,0.015111796453353893,0.06721536351165981,0.01762745674164917
2022-01-01,Service work and tips,87,6485,1458,0.013415574402467233,0.059670781893004114,0.014710844044992741
2022-01-01,Work arrangements and control,62,6485,1458,0.009560524286815728,0.04252400548696845,0.009847784562574667
2022-01-01,Workplace authority and interpersonal conflict,52,6485,1458,0.008018504240555127,0.03566529492455418,0.007173103161925346
2022-02-01,Career precarity and exit,86,3253,638,0.026437134952351674,0.13479623824451412,0.025290530197694772
2022-02-01,Collective worker power and rights,29,3253,638,0.00891484783276975,0.045454545454545456,0.008103844577436603
2022-02-01,Compensation and pay rights,154,3253,638,0.04734091607746695,0.2413793103448276,0.044605246956691734
2022-02-01,Health safety and attendance,132,3253,638,0.040577928066400246,0.20689655172413793,0.05129016038573917
2022-02-01,Recruitment and labor market,81,3253,638,0.02490009222256379,0.12695924764890282,0.024388337930008483
2022-02-01,Scheduling hours and time off,55,3253,638,0.01690747002766677,0.08620689655172414,0.017698462824857947
2022-02-01,Service work and tips,46,3253,638,0.014140793114048571,0.07210031347962383,0.013565983155145733
2022-02-01,Work arrangements and control,32,3253,638,0.009837073470642483,0.050156739811912224,0.012830028246617817
2022-02-01,Workplace authority and interpersonal conflict,23,3253,638,0.007070396557024286,0.03605015673981191,0.00833569195112305
2022-03-01,Career precarity and exit,98,4033,796,0.02429952888668485,0.12311557788944724,0.027005648039772272
2022-03-01,Collective worker power and rights,31,4033,796,0.007686585668237045,0.038944723618090454,0.008620230920088685
2022-03-01,Compensation and pay rights,174,4033,796,0.04314406149268535,0.2185929648241206,0.04584400820573312
2022-03-01,Health safety and attendance,113,4033,796,0.028018844532606002,0.14195979899497488,0.03237510037584492
2022-03-01,Recruitment and labor market,125,4033,796,0.030994297049342923,0.157035175879397,0.02588872034789283
2022-03-01,Scheduling hours and time off,85,4033,796,0.021076121993553187,0.10678391959798995,0.020252121597997576
2022-03-01,Service work and tips,53,4033,796,0.0131415819489214,0.06658291457286432,0.01551721477741308
2022-03-01,Work arrangements and control,77,4033,796,0.01909248698239524,0.09673366834170855,0.015315525823351583
2022-03-01,Workplace authority and interpersonal conflict,40,4033,796,0.009918175055789735,0.05025125628140704,0.00924977745785826
2022-04-01,Career precarity and exit,121,3996,826,0.03028028028028028,0.14648910411622276,0.02754671295861307
2022-04-01,Collective worker power and rights,37,3996,826,0.009259259259259259,0.044794188861985475,0.00798697578490494
