month,candidate_theme,posts,negative_mean_probability,neutral_mean_probability,positive_mean_probability,hard_negative_share,hard_neutral_share,hard_positive_share,mean_max_probability
2022-05-01,Workplace authority and interpersonal conflict,36,0.6521132,0.2808994,0.06698735,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.7706171
2022-06-01,Career precarity and exit,75,0.5771911,0.3240705,0.09873836,0.6933333333333334,0.24,0.06666666666666667,0.70537764
2022-06-01,Collective worker power and rights,21,0.2577302,0.4760501,0.2662197,0.23809523809523808,0.5714285714285714,0.19047619047619047,0.7297794
2022-06-01,Compensation and pay rights,140,0.4693128,0.39471456,0.13597263,0.5142857142857142,0.37857142857142856,0.10714285714285714,0.6767679
2022-06-01,Health safety and attendance,92,0.61286813,0.3295165,0.0576154,0.7065217391304348,0.2826086956521739,0.010869565217391304,0.70450217
2022-06-01,Recruitment and labor market,63,0.41182056,0.43881935,0.14936012,0.4603174603174603,0.42857142857142855,0.1111111111111111,0.6776001
2022-06-01,Scheduling hours and time off,72,0.53260285,0.41311866,0.05427847,0.5972222222222222,0.3888888888888889,0.013888888888888888,0.69157773
2022-06-01,Service work and tips,34,0.4782298,0.36845732,0.1533129,0.5,0.35294117647058826,0.14705882352941177,0.6759745
2022-06-01,Work arrangements and control,44,0.36761686,0.48527804,0.14710508,0.36363636363636365,0.5,0.13636363636363635,0.67989075
2022-06-01,Workplace authority and interpersonal conflict,31,0.60822344,0.30350214,0.088274434,0.7096774193548387,0.22580645161290322,0.06451612903225806,0.7416073
2022-07-01,Career precarity and exit,107,0.5976394,0.31900185,0.08335875,0.6728971962616822,0.27102803738317754,0.056074766355140186,0.7029912
2022-07-01,Collective worker power and rights,20,0.42435163,0.45562664,0.120021746,0.45,0.5,0.05,0.6891974
2022-07-01,Compensation and pay rights,141,0.47256312,0.38968256,0.1377543,0.5177304964539007,0.3900709219858156,0.09219858156028368,0.6482552
2022-07-01,Health safety and attendance,111,0.54163194,0.3826878,0.075680226,0.6036036036036037,0.36036036036036034,0.036036036036036036,0.6782228
2022-07-01,Recruitment and labor market,78,0.50311625,0.4037486,0.09313513,0.5512820512820513,0.4230769230769231,0.02564102564102564,0.68130594
2022-07-01,Scheduling hours and time off,78,0.46301454,0.44543374,0.09155173,0.5,0.47435897435897434,0.02564102564102564,0.6487488
2022-07-01,Service work and tips,66,0.53696597,0.38173258,0.0813014,0.6666666666666666,0.2727272727272727,0.06060606060606061,0.69639677
2022-07-01,Work arrangements and control,46,0.45480484,0.44726816,0.09792698,0.5217391304347826,0.41304347826086957,0.06521739130434782,0.6672627
2022-07-01,Workplace authority and interpersonal conflict,38,0.5827245,0.29963803,0.11763743,0.7105263157894737,0.21052631578947367,0.07894736842105263,0.7080045
2022-08-01,Career precarity and exit,103,0.5837345,0.3243105,0.091954924,0.6796116504854369,0.2621359223300971,0.05825242718446602,0.713808
2022-08-01,Collective worker power and rights,22,0.37855002,0.40992004,0.21152997,0.4090909090909091,0.36363636363636365,0.22727272727272727,0.6980133
2022-08-01,Compensation and pay rights,134,0.47701514,0.3828319,0.14015298,0.5447761194029851,0.3582089552238806,0.09701492537313433,0.707464
2022-08-01,Health safety and attendance,109,0.6144645,0.32026675,0.065268725,0.7247706422018348,0.23853211009174313,0.03669724770642202,0.713482
2022-08-01,Recruitment and labor market,83,0.5084828,0.34289244,0.14862472,0.5783132530120482,0.27710843373493976,0.14457831325301204,0.70407516
2022-08-01,Scheduling hours and time off,103,0.44398892,0.46894637,0.08706473,0.5048543689320388,0.4563106796116505,0.038834951456310676,0.68794334
2022-08-01,Service work and tips,61,0.51024497,0.41543648,0.07431853,0.5901639344262295,0.39344262295081966,0.01639344262295082,0.66845113
2022-08-01,Work arrangements and control,41,0.4445208,0.46041828,0.0950609,0.5365853658536586,0.43902439024390244,0.024390243902439025,0.620102
2022-08-01,Workplace authority and interpersonal conflict,37,0.6083375,0.32862538,0.063037075,0.7297297297297297,0.2702702702702703,0.0,0.6616804
2022-09-01,Career precarity and exit,78,0.58634716,0.29284182,0.12081101,0.6538461538461539,0.24358974358974358,0.10256410256410256,0.73664623
2022-09-01,Collective worker power and rights,15,0.53110355,0.39797994,0.070916526,0.6,0.4,0.0,0.70708376
2022-09-01,Compensation and pay rights,95,0.5067001,0.38946813,0.10383175,0.6105263157894737,0.3368421052631579,0.05263157894736842,0.68768454
2022-09-01,Health safety and attendance,79,0.6342411,0.31047875,0.05528014,0.7468354430379747,0.22784810126582278,0.02531645569620253,0.71249974
2022-09-01,Recruitment and labor market,64,0.49017167,0.415753,0.094075345,0.609375,0.34375,0.046875,0.6857519
2022-09-01,Scheduling hours and time off,72,0.47265244,0.45470873,0.07263884,0.5,0.4583333333333333,0.041666666666666664,0.67984
2022-09-01,Service work and tips,33,0.40345618,0.46502104,0.13152279,0.3333333333333333,0.5757575757575758,0.09090909090909091,0.6729042
2022-09-01,Work arrangements and control,49,0.49564335,0.43147975,0.07287689,0.46938775510204084,0.4897959183673469,0.04081632653061224,0.6358225
2022-09-01,Workplace authority and interpersonal conflict,25,0.6740429,0.26256636,0.06339075,0.8,0.2,0.0,0.7467405
2022-10-01,Career precarity and exit,50,0.57393706,0.31368834,0.11237465,0.72,0.18,0.1,0.7026184
2022-10-01,Collective worker power and rights,10,0.42892298,0.46242777,0.108649276,0.5,0.5,0.0,0.6691344
2022-10-01,Compensation and pay rights,75,0.4815774,0.37661788,0.14180474,0.5866666666666667,0.32,0.09333333333333334,0.69689935
2022-10-01,Health safety and attendance,66,0.6510627,0.3062005,0.042736802,0.7878787878787878,0.19696969696969696,0.015151515151515152,0.7272036
2022-10-01,Recruitment and labor market,52,0.5145673,0.3916759,0.09375681,0.5576923076923077,0.38461538461538464,0.057692307692307696,0.71429646
2022-10-01,Scheduling hours and time off,58,0.48196942,0.423492,0.0945386,0.5517241379310345,0.39655172413793105,0.05172413793103448,0.6770307
2022-10-01,Service work and tips,28,0.5449891,0.35348275,0.101528145,0.6428571428571429,0.32142857142857145,0.03571428571428571,0.71762747
2022-10-01,Work arrangements and control,34,0.40300703,0.4756534,0.12133956,0.4411764705882353,0.47058823529411764,0.08823529411764706,0.67796516
2022-10-01,Workplace authority and interpersonal conflict,28,0.5999436,0.2977945,0.10226196,0.6785714285714286,0.25,0.07142857142857142,0.7354355
2022-11-01,Career precarity and exit,57,0.5615398,0.32523897,0.11322119,0.5964912280701754,0.3157894736842105,0.08771929824561403,0.70904356
2022-11-01,Collective worker power and rights,21,0.45088732,0.41388017,0.1352325,0.47619047619047616,0.42857142857142855,0.09523809523809523,0.74848634
2022-11-01,Compensation and pay rights,85,0.49781534,0.37997952,0.12220511,0.5411764705882353,0.3764705882352941,0.08235294117647059,0.685069
2022-11-01,Health safety and attendance,50,0.6099305,0.32527545,0.06479403,0.72,0.24,0.04,0.73364717
2022-11-01,Recruitment and labor market,36,0.49199015,0.40286687,0.10514298,0.5555555555555556,0.3888888888888889,0.05555555555555555,0.67653424
2022-11-01,Scheduling hours and time off,52,0.4123657,0.50272506,0.0849092,0.46153846153846156,0.4807692307692308,0.057692307692307696,0.6907422
2022-11-01,Service work and tips,23,0.5923263,0.32827112,0.07940259,0.7391304347826086,0.2608695652173913,0.0,0.6809156
2022-11-01,Work arrangements and control,25,0.49093685,0.429151,0.07991214,0.56,0.4,0.04,0.6737524
2022-11-01,Workplace authority and interpersonal conflict,19,0.50051534,0.37012526,0.1293594,0.631578947368421,0.2631578947368421,0.10526315789473684,0.70219564
2022-12-01,Career precarity and exit,68,0.6454213,0.27533802,0.07924067,0.75,0.20588235294117646,0.04411764705882353,0.7615399
2022-12-01,Collective worker power and rights,10,0.49760097,0.40888152,0.093517505,0.5,0.4,0.1,0.62525797
2022-12-01,Compensation and pay rights,80,0.5423897,0.38045868,0.07715161,0.6125,0.35,0.0375,0.6989977
2022-12-01,Health safety and attendance,87,0.632615,0.30693707,0.06044798,0.8045977011494253,0.14942528735632185,0.04597701149425287,0.6987722
2022-12-01,Recruitment and labor market,35,0.4256161,0.4634283,0.11095564,0.4857142857142857,0.45714285714285713,0.05714285714285714,0.69836605
2022-12-01,Scheduling hours and time off,69,0.44005302,0.48396146,0.07598549,0.4927536231884058,0.4782608695652174,0.028985507246376812,0.6846647
2022-12-01,Service work and tips,22,0.5353811,0.41803524,0.046583638,0.5454545454545454,0.45454545454545453,0.0,0.656872
2022-12-01,Work arrangements and control,24,0.49814734,0.40966657,0.09218609,0.5833333333333334,0.375,0.041666666666666664,0.67820686
2022-12-01,Workplace authority and interpersonal conflict,34,0.59615827,0.3316725,0.07216925,0.7352941176470589,0.23529411764705882,0.029411764705882353,0.70616853
2023-01-01,Career precarity and exit,67,0.582903,0.3055283,0.11156866,0.7164179104477612,0.22388059701492538,0.05970149253731343,0.71218264
2023-01-01,Collective worker power and rights,10,0.33288175,0.5219328,0.1451855,0.3,0.6,0.1,0.66776
2023-01-01,Compensation and pay rights,81,0.49296206,0.3775771,0.12946081,0.5802469135802469,0.32098765432098764,0.09876543209876543,0.6971777
2023-01-01,Health safety and attendance,55,0.62150055,0.33942723,0.03907224,0.7090909090909091,0.2909090909090909,0.0,0.69034153
2023-01-01,Recruitment and labor market,44,0.3845631,0.48519105,0.13024588,0.45454545454545453,0.4772727272727273,0.06818181818181818,0.6864381
2023-01-01,Scheduling hours and time off,60,0.47621822,0.4578514,0.06593036,0.55,0.4,0.05,0.6842348
2023-01-01,Service work and tips,33,0.4708688,0.4158328,0.113298416,0.48484848484848486,0.45454545454545453,0.06060606060606061,0.69271404
2023-01-01,Work arrangements and control,29,0.36486983,0.51861835,0.116511814,0.41379310344827586,0.4827586206896552,0.10344827586206896,0.70249623
2023-01-01,Workplace authority and interpersonal conflict,32,0.6676611,0.26218846,0.0701505,0.84375,0.125,0.03125,0.7058989
2023-02-01,Career precarity and exit,52,0.53132236,0.3702036,0.09847408,0.6153846153846154,0.34615384615384615,0.038461538461538464,0.69837666
2023-02-01,Collective worker power and rights,9,0.41521624,0.34756353,0.23722026,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.78606087
2023-02-01,Compensation and pay rights,78,0.50927424,0.40672785,0.08399791,0.5384615384615384,0.41025641025641024,0.05128205128205128,0.68352836
2023-02-01,Health safety and attendance,61,0.6109149,0.3203722,0.06871293,0.8032786885245902,0.16393442622950818,0.03278688524590164,0.7043825
2023-02-01,Recruitment and labor market,43,0.5441844,0.38970202,0.06611355,0.6744186046511628,0.3023255813953488,0.023255813953488372,0.6839794
